Assay_Type	AvgSpotLen	BioSample	Experiment	Instrument	LibrarySelection	LibrarySource	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	genotype	mouse_number	primary_tumor_index	sequencing_type	tissue	tumor_index	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	sex	strain	treatment
WXS	202	SAMN07503998	SRX3094109	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-43,101bp PE"	7364	3115	SRR5933894	SRS2431433	HL-WES-43	Trp53flox/flox;Brca1flox/flox;	1205	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07503997	SRX3094110	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL158,75bp PE"	7175	2581	SRR5933893	SRS2431435	HL158	Trp53flox/flox;Brca1+/+;	975	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504175	SRX3094111	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-69,101bp PE"	6546	3159	SRR5933892	SRS2431434	HL-WES-69	Trp53flox/flox;Brca1+/+;	1783	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504176	SRX3094112	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-70,101bp PE"	11179	5016	SRR5933891	SRS2431436	HL-WES-70	Trp53flox/flox;Brca1+/+;	1783	2	WEX	primary	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504001	SRX3094114	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL80,51bp PE"	4276	2879	SRR5933889	SRS2431438	HL80	Trp53flox/flox;Brca1flox/flox;	1221	1	RNAseq	implant	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504167	SRX3094119	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL01,51bp PE"	4550	2998	SRR5933884	SRS2431443	HL01	Trp53flox/flox;Brca1+/+;	1720	1	RNAseq	implant	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504168	SRX3094120	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL02,51bp PE"	3910	2576	SRR5933883	SRS2431444	HL02	Trp53flox/flox;Brca1+/+;	1720	1	RNAseq	implant	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504221	SRX3093952	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-81,101bp PE"	7230	3333	SRR5934051	SRS2431276	HL-WES-81	Trp53flox/flox;Brca1+/+;	120913	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504222	SRX3093953	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL176,75bp PE"	9866	3438	SRR5934050	SRS2431278	HL176	Trp53flox/flox;Brca1+/+;	120913	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504219	SRX3093954	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-80,101bp PE"	8320	3759	SRR5934049	SRS2431277	HL-WES-80	Trp53flox/flox;Brca1+/+;	81113	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504220	SRX3093955	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL177,75bp PE"	10400	3585	SRR5934048	SRS2431279	HL177	Trp53flox/flox;Brca1+/+;	81113	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504135	SRX3093956	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-68,101bp PE"	6162	2782	SRR5934047	SRS2431280	HL-WES-68	Trp53flox/flox;Brca1+/+;	1605	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504136	SRX3093957	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL164,75bp PE"	7629	2714	SRR5934046	SRS2431281	HL164	Trp53flox/flox;Brca1+/+;	1605	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504133	SRX3093958	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-35,101bp PE"	10270	4422	SRR5934045	SRS2431282	HL-WES-35	Trp53+/+;Brca1+/+;	1601	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504134	SRX3093959	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL106,51bp PE"	5838	3916	SRR5934044	SRS2431283	HL106	Trp53flox/flox;Brca1flox/flox;	1601	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504131	SRX3093960	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL129,51bp PE"	4762	1673	SRR5934043	SRS2431284	HL129	Trp53flox/flox;Brca1+/+;	1597	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504132	SRX3093961	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-24,101bp PE"	8418	3585	SRR5934042	SRS2431285	HL-WES-24	Trp53flox/flox;Brca1flox/flox;	1601	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504129	SRX3093962	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-23,101bp PE"	8669	3779	SRR5934041	SRS2431286	HL-WES-23	Trp53flox/flox;Brca1+/+;	1597	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504130	SRX3093963	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL105,51bp PE"	3968	2660	SRR5934040	SRS2431287	HL105	Trp53flox/flox;Brca1+/+;	1597	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504127	SRX3093964	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-67,101bp PE"	8885	4003	SRR5934039	SRS2431288	HL-WES-67	Trp53flox/flox;Brca1+/+;	1596	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504128	SRX3093965	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL163,75bp PE"	8111	2918	SRR5934038	SRS2431289	HL163	Trp53flox/flox;Brca1+/+;	1596	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07503995	SRX3093966	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-62,101bp PE"	8024	3658	SRR5934037	SRS2431290	HL-WES-62	Trp53flox/flox;Brca1+/+;	975	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07503996	SRX3093967	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-82,101bp PE"	5270	2003	SRR5934036	SRS2431291	HL-WES-82	Trp53+/+;Brca1+/+;	975	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504070	SRX3093968	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-05,51bp PE"	5576	2298	SRR5934035	SRS2431292	HL-WES-05	Trp53flox/flox;Brca1flox/flox;	1461	1	WEX	primary	5	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504057	SRX3093969	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL121,51bp PE"	5854	2052	SRR5934034	SRS2431293	HL121	Trp53flox/flox;Brca1flox/flox;	1433	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07503987	SRX3093970	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL152,51bp PE"	5747	2070	SRR5934033	SRS2431294	HL152	Trp53flox/flox;Brca1flox/flox;	666	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07503988	SRX3093971	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-60,101bp PE"	8320	3695	SRR5934032	SRS2431295	HL-WES-60	Trp53flox/flox;Brca1+/+;	777	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07503989	SRX3093972	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL156,51bp PE"	4766	1683	SRR5934031	SRS2431296	HL156	Trp53flox/flox;Brca1+/+;	777	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07503990	SRX3093973	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-42,101bp PE"	8520	3633	SRR5934030	SRS2431297	HL-WES-42	Trp53flox/flox;Brca1flox/flox;	959	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07503991	SRX3093974	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-83,101bp PE"	7317	2909	SRR5934029	SRS2431298	HL-WES-83	Trp53+/+;Brca1+/+;	959	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07503992	SRX3093975	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL137,51bp PE"	5124	1777	SRR5934028	SRS2431299	HL137	Trp53flox/flox;Brca1flox/flox;	959	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07503993	SRX3093976	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-61,101bp PE"	6684	2998	SRR5934027	SRS2431301	HL-WES-61	Trp53flox/flox;Brca1+/+;	968	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07503994	SRX3093977	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL157,51bp PE"	5989	2124	SRR5934026	SRS2431300	HL157	Trp53flox/flox;Brca1+/+;	968	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504217	SRX3093978	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-41,101bp PE"	10452	4465	SRR5934025	SRS2431303	HL-WES-41	Trp53+/+;Brca1+/+;	2598	-1	WEX	liver	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504218	SRX3093979	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL117-2598,75bp PE"	19506	8121	SRR5934024	SRS2431302	HL117-2598	Trp53+/+;Brca1+/+;	2598	-1	RNAseq	normal breast	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504016	SRX3093980	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL65,51bp PE"	3935	2561	SRR5934023	SRS2431304	HL65	Trp53flox/flox;Brca1+/+;	1259	1	RNAseq	implant	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504210	SRX3093981	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-108,101bp PE"	5197	2409	SRR5934022	SRS2431305	HL-WES-108	Trp53+/+;Brca1+/+;	2083	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504209	SRX3093982	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL174,75bp PE"	8161	2851	SRR5934021	SRS2431306	HL174	Trp53flox/flox;Brca1+/+;	2080	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504106	SRX3093983	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-49,101bp PE"	7531	3205	SRR5934020	SRS2431307	HL-WES-49	Trp53flox/flox;Brca1flox/flox;	1525	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504214	SRX3093985	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL115-2374,75bp PE"	9537	3309	SRR5934018	SRS2431309	HL115-2374	Trp53+/+;Brca1+/+;	2374	-1	RNAseq	normal breast	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504213	SRX3093986	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-39,101bp PE"	9776	4204	SRR5934017	SRS2431310	HL-WES-39	Trp53+/+;Brca1+/+;	2374	-1	WEX	liver	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504212	SRX3093987	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL175,75bp PE"	8875	3107	SRR5934016	SRS2431311	HL175	Trp53flox/flox;Brca1+/+;	2083	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504211	SRX3093988	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-79,101bp PE"	8943	4075	SRR5934015	SRS2431312	HL-WES-79	Trp53flox/flox;Brca1+/+;	2083	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504104	SRX3093993	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL47,51bp PE"	3750	2464	SRR5934010	SRS2431317	HL47	Trp53flox/flox;Brca1+/+;	1513	1	RNAseq	implant	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504126	SRX3093997	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL147,51bp PE"	6428	2345	SRR5934006	SRS2431321	HL147	Trp53flox/flox;Brca1flox/flox;	1586	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504125	SRX3093998	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-96,101bp PE"	9589	3868	SRR5934005	SRS2431322	HL-WES-96	Trp53+/+;Brca1+/+;	1586	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504122	SRX3093999	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-95,101bp PE"	17013	6742	SRR5934004	SRS2431323	HL-WES-95	Trp53+/+;Brca1+/+;	1585	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504121	SRX3094000	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-51,101bp PE"	7780	3462	SRR5934003	SRS2431324	HL-WES-51	Trp53flox/flox;Brca1flox/flox;	1585	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504124	SRX3094001	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-52,101bp PE"	7287	3505	SRR5934002	SRS2431325	HL-WES-52	Trp53flox/flox;Brca1flox/flox;	1586	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504123	SRX3094002	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL128,51bp PE"	5496	1928	SRR5934001	SRS2431326	HL128	Trp53flox/flox;Brca1flox/flox;	1585	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504120	SRX3094005	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL127,51bp PE"	5303	1872	SRR5933998	SRS2431329	HL127	Trp53flox/flox;Brca1flox/flox;	1573	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504119	SRX3094006	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-50,101bp PE"	8969	3974	SRR5933997	SRS2431330	HL-WES-50	Trp53flox/flox;Brca1flox/flox;	1573	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07503999	SRX3094007	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL138,51bp PE"	5839	2119	SRR5933996	SRS2431331	HL138	Trp53flox/flox;Brca1flox/flox;	1205	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504046	SRX3094008	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-87,101bp PE"	7554	3042	SRR5933995	SRS2431333	HL-WES-87	Trp53+/+;Brca1+/+;	1411	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
